2017-01-16 08:21:41,181 INFO  - Starting HiveMQ Server
2017-01-16 08:21:41,228 INFO  - HiveMQ version: 3.0.1
2017-01-16 08:21:41,228 INFO  - HiveMQ home directory: C:\xampp\htdocs\rasp\mqttBroker\hivemq-3.0.1
2017-01-16 08:21:43,083 INFO  - No valid license file found. Using evaluation license, restricted to 25 connections.
2017-01-16 08:21:44,234 INFO  - The HiveMQ cluster ID is 76909070-2655-4fd1-9bae-58749ab2f7ec
2017-01-16 08:21:44,531 INFO  - Loaded Plugin HiveMQ JMX Metrics Reporting Plugin - v3.0.0
2017-01-16 08:21:44,532 INFO  - Loaded Plugin HiveMQ Sys Topic Plugin - v3.0.0
2017-01-16 08:21:44,533 INFO  - Loaded Plugin HiveMQ MQTT Message Log Plugin - v3.0.0
2017-01-16 08:21:44,535 INFO  - JMX Metrics Reporting started.
2017-01-16 08:21:44,551 INFO  - Starting TCP listener on address 192.168.137.1 and port 1884
2017-01-16 08:21:44,682 INFO  - Starting Websocket listener on address 172.17.205.246 and port 8000
2017-01-16 08:21:44,698 INFO  - Started TCP Listener on address 192.168.137.1 and on port 1884
2017-01-16 08:21:44,698 INFO  - Started Websocket Listener on address 172.17.205.246 and on port 8000
2017-01-16 08:21:44,698 INFO  - Started HiveMQ in 3471ms
2017-01-16 08:21:44,999 INFO  - A new HiveMQ Version (3.2.1) is available. Visit http://www.hivemq.com/ for more details.
2017-01-16 08:22:28,319 INFO  - Starting HiveMQ Server
2017-01-16 08:22:28,319 INFO  - HiveMQ version: 3.0.1
2017-01-16 08:22:28,319 INFO  - HiveMQ home directory: C:\xampp\htdocs\rasp\mqttBroker\hivemq-3.0.1
2017-01-16 08:22:29,891 INFO  - No valid license file found. Using evaluation license, restricted to 25 connections.
2017-01-16 08:22:31,204 INFO  - The HiveMQ cluster ID is 038e3a38-c148-4e33-8fb3-1fa53c6dadb9
2017-01-16 08:22:31,505 INFO  - Loaded Plugin HiveMQ JMX Metrics Reporting Plugin - v3.0.0
2017-01-16 08:22:31,505 INFO  - Loaded Plugin HiveMQ Sys Topic Plugin - v3.0.0
2017-01-16 08:22:31,505 INFO  - Loaded Plugin HiveMQ MQTT Message Log Plugin - v3.0.0
2017-01-16 08:22:31,527 INFO  - JMX Metrics Reporting started.
2017-01-16 08:22:31,527 INFO  - Starting TCP listener on address 172.17.205.246 and port 1884
2017-01-16 08:22:31,659 INFO  - Starting Websocket listener on address 172.17.205.246 and port 8000
2017-01-16 08:22:31,674 INFO  - Started TCP Listener on address 172.17.205.246 and on port 1884
2017-01-16 08:22:31,674 INFO  - Started Websocket Listener on address 172.17.205.246 and on port 8000
2017-01-16 08:22:31,674 INFO  - Started HiveMQ in 3347ms
2017-01-16 08:22:31,874 INFO  - A new HiveMQ Version (3.2.1) is available. Visit http://www.hivemq.com/ for more details.
2017-01-16 08:23:50,275 INFO  - Client myclientid_65 connected
2017-01-16 08:23:51,658 INFO  - Client myclientid_65 sent a message to topic "Ahoii/appDesignSyst3m1/Test": "startCam" (QoS: 2, retained: false)
2017-01-16 08:23:54,158 INFO  - Client myclientid_65 sent a message to topic "Ahoii/appDesignSyst3m1/Test": "startPosition" (QoS: 2, retained: false)
2017-01-16 08:24:06,216 INFO  - Client myclientid_65 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "183" (QoS: 2, retained: false)
2017-01-16 08:24:06,301 INFO  - Client myclientid_65 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "183" (QoS: 2, retained: false)
2017-01-16 08:24:06,301 INFO  - Client myclientid_65 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "181" (QoS: 2, retained: false)
2017-01-16 08:24:06,317 INFO  - Client myclientid_65 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "181" (QoS: 2, retained: false)
2017-01-16 08:24:06,317 INFO  - Client myclientid_65 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "181" (QoS: 2, retained: false)
2017-01-16 08:24:06,332 INFO  - Client myclientid_65 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "181" (QoS: 2, retained: false)
2017-01-16 08:24:10,420 INFO  - Client myclientid_65 sent DISCONNECT message
2017-01-16 08:26:22,029 INFO  - Client myclientid_93 connected
2017-01-16 08:26:23,382 INFO  - Client myclientid_93 sent a message to topic "Ahoii/appDesignSyst3m1/Test": "startCam" (QoS: 2, retained: false)
2017-01-16 08:26:25,375 INFO  - Client myclientid_93 sent a message to topic "Ahoii/appDesignSyst3m1/Test": "startPosition" (QoS: 2, retained: false)
2017-01-16 08:26:31,113 INFO  - Client myclientid_93 sent DISCONNECT message
2017-01-16 08:27:16,255 INFO  - Client appDesignSyst3m1 connected
2017-01-16 08:27:16,287 INFO  - Subscribe from client appDesignSyst3m1 received: Ahoii/# QoS: 0
2017-01-16 08:28:10,287 INFO  - Client myclientid_77 connected
2017-01-16 08:28:11,456 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/Test": "startCam" (QoS: 2, retained: false)
2017-01-16 08:28:13,719 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/Test": "startPosition" (QoS: 2, retained: false)
2017-01-16 08:28:16,967 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "182" (QoS: 2, retained: false)
2017-01-16 08:28:16,991 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "180" (QoS: 2, retained: false)
2017-01-16 08:28:16,991 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "178" (QoS: 2, retained: false)
2017-01-16 08:28:17,007 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "177" (QoS: 2, retained: false)
2017-01-16 08:28:17,007 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "178" (QoS: 2, retained: false)
2017-01-16 08:28:17,038 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "178" (QoS: 2, retained: false)
2017-01-16 08:28:17,054 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "178" (QoS: 2, retained: false)
2017-01-16 08:28:17,054 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "178" (QoS: 2, retained: false)
2017-01-16 08:28:17,054 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "180" (QoS: 2, retained: false)
2017-01-16 08:28:17,054 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "180" (QoS: 2, retained: false)
2017-01-16 08:28:17,054 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "180" (QoS: 2, retained: false)
2017-01-16 08:28:17,054 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "180" (QoS: 2, retained: false)
2017-01-16 08:28:17,238 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "178" (QoS: 2, retained: false)
2017-01-16 08:28:17,238 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "178" (QoS: 2, retained: false)
2017-01-16 08:28:17,238 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "178" (QoS: 2, retained: false)
2017-01-16 08:28:17,238 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "178" (QoS: 2, retained: false)
2017-01-16 08:28:17,322 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "177" (QoS: 2, retained: false)
2017-01-16 08:28:17,322 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "176" (QoS: 2, retained: false)
2017-01-16 08:28:17,338 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "176" (QoS: 2, retained: false)
2017-01-16 08:28:17,354 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "175" (QoS: 2, retained: false)
2017-01-16 08:28:18,091 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "174" (QoS: 2, retained: false)
2017-01-16 08:28:18,091 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "173" (QoS: 2, retained: false)
2017-01-16 08:28:18,091 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "172" (QoS: 2, retained: false)
2017-01-16 08:28:18,091 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "172" (QoS: 2, retained: false)
2017-01-16 08:28:18,106 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "171" (QoS: 2, retained: false)
2017-01-16 08:28:18,106 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "170" (QoS: 2, retained: false)
2017-01-16 08:28:18,106 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "167" (QoS: 2, retained: false)
2017-01-16 08:28:18,106 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "166" (QoS: 2, retained: false)
2017-01-16 08:28:18,106 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "156" (QoS: 2, retained: false)
2017-01-16 08:28:18,106 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "158" (QoS: 2, retained: false)
2017-01-16 08:28:18,122 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "160" (QoS: 2, retained: false)
2017-01-16 08:28:18,122 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "163" (QoS: 2, retained: false)
2017-01-16 08:28:18,122 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "161" (QoS: 2, retained: false)
2017-01-16 08:28:18,169 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "154" (QoS: 2, retained: false)
2017-01-16 08:28:18,191 INFO  - Client myclientid_77 sent a message to topic "Ahoii/appDesignSyst3m1/gamma": "152" (QoS: 2, retained: false)
